shipmentId;districtName;townName;;;;;
b6d810df-4da3-4331-a047-686945d7b377;PROVIDENCIA;;;;;;
0ee59e49-a3d8-4e9f-80d1-27c0235f0381;MAIPÚ;;;;;;
94ff7d2d-93c3-406f-9b4a-c8304440f6b2;MAIPÚ;;;;;;
4f7e7429-28da-46ed-a55a-a3acc42ea4f0;LAS CONDES;;;;;;
358d0939-3328-4981-879e-09f6b1665177;LO ESPEJO;;;;;;
a0d645d8-5a5d-435b-a08a-7204278556ba;PUDAHUEL;PUDAHUEL - PUDAHUEL;;;;;
7f1e369c-2375-4c57-b101-1c4a82627c7f;RECOLETA;;;;;;
bb8b96cb-cde0-42e8-8e3b-15c3227c2ba5;LA SERENA;LA SERENA - LA SERENA;;;;;
7f8901e8-7c6f-4637-b7ee-413dd9319b12;CURACAVÍ;CURACAVÍ;;;;;
44fe053e-92cf-498f-8b25-c6a3c0c34aae;LA FLORIDA;;;;;;
e11e7462-13b3-4a2f-bb54-c98808f5db98;ALGARROBO;ALGARROBO - ALGARROBO;;;;;
3407e33e-5a0d-40e5-821b-d6a3ec8edd87;CHÉPICA;CHÉPICA;;;;;
56a26bd5-46a7-465b-acc7-0c81cf97b474;LONCOCHE;LONCOCHE;;;;;
343aaaaf-5cc8-472f-8a13-38d67229aa77;ALHUÉ;ALHUÉ;;;;;
37abec13-67c3-4e56-9be9-63a1d8dd9662;ALHUÉ;ALHUÉ;;;;;
86ce39e5-9574-4c87-9634-0a1bbf301212;ALTO BIOBÍO;ALTO BIOBÍO;;;;;
7f804252-5729-4a88-8493-238ad4e71911;ALTO BIOBÍO;ALTO BIOBÍO;;;;;
29709dec-f039-403b-b58d-85f2571d4681;LA FLORIDA;;;;;;
780e1453-8aeb-479d-b9fb-c76e01893bad;ALTO BIOBÍO;ALTO BIOBÍO;;;;;
9423ca51-fae6-40bc-a051-136e975ca40f;ESTACIÓN CENTRAL;;;;;;
ecee2759-716a-4973-96b7-e512f9f37157;QUILICURA;;;;;;
cc19279b-3611-44b2-92e3-0c168463151c;PUNTA ARENAS;PUNTA ARENAS;;;;;
a0c27a5e-74f6-4992-9852-c05324c4119e;ANCUD;ANCUD - ANCUD;;;;;
6b3c3ec0-a4e9-4084-88ed-789ad3b4d0d3;MAIPÚ;;;;;;
abb8779a-5d1c-4aa2-a092-eab018fbbf75;CURARREHUE;CURARREHUE;;;;;
d2fdc574-49a2-470e-a932-4868b05dc0cb;TEMUCO;TEMUCO - CAJÓN;;;;;
ac0e8578-fe99-4bd3-99e8-5d27333526d8;EL BOSQUE;;;;;;
fd088675-4da6-4ef4-a9a1-4acc828151d6;ÑUÑOA;;;;;;
de58178c-990f-4937-a1d6-c76480ec1ade;MARÍA PINTO;MARÍA PINTO;;;;;
312459d6-1c50-423e-9a33-a35944fea20d;SAN MIGUEL;;;;;;
9add3436-8e40-4c71-accd-bf8b3e78dd0d;ÑUÑOA;;;;;;
c3961746-1583-40e9-8639-bce0cc7f4215;LA CISTERNA;;;;;;
cede75f3-5f23-4288-8cda-b3451bfc799a;PEÑALOLÉN;;;;;;
accbb08e-f0a3-4b2b-8e01-d5f96d319259;PEÑALOLÉN;;;;;;
f15d906e-70cb-4888-afa4-7d1647fe2fe5;SAN PEDRO DE LA PAZ;SAN PEDRO DE LA PAZ;;;;;
3fd7d62a-7ad9-4864-aa75-fb9d4fde074d;QUILICURA;;;;;;
026325af-70bd-464a-a568-57aae962a97f;QUILICURA;;;;;;
eba4349a-53b7-4cbb-9cb3-638e407ead15;ANCUD;ANCUD - ANCUD;;;;;
edc70ad9-838c-4b42-a538-52b1bfe94645;ALTO BIOBÍO;ALTO BIOBÍO;;;;;
b135e399-0eb0-4525-bf3d-12d6bd7d0b6e;VITACURA;;;;;;
d2b8ffb1-a4c2-4dd1-9856-73d4e8b0175c;QUINTA NORMAL;;;;;;
951c197e-4d11-4312-bc01-62ee3f0cc302;CHÉPICA;CHÉPICA;;;;;
c2ff930e-fc73-4ae9-89d8-c610ff3f7cd7;QUILICURA;;;;;;
b07d0f2d-59cc-403f-b77e-ee8fc00bb3b4;CAUQUENES;CAUQUENES - CAUQUENES;;;;;
ca870415-b911-4b77-b803-dcd5dcca15e5;PUMANQUE;PUMANQUE;;;;;
89b266dc-7c8e-4a5c-9f15-3d500b3a126c;ALTO BIOBÍO;ALTO BIOBÍO;;;;;
04c93423-9122-4308-b539-8a6a4780acc9;QUILICURA;;;;;;
cd5277ee-655a-4561-89f8-7a3576c868f1;PEÑALOLÉN;;;;;;
cf805793-6326-4be1-90da-dec8c165f712;ALTO BIOBÍO;ALTO BIOBÍO;;;;;
695dd4b5-99c7-485d-8e00-90f270e9311d;ÑUÑOA;;;;;;
fb3b8177-b6b6-4e65-9570-cec33e97080d;MARCHIHUE;MARCHIHUE;;;;;
b25dba48-419d-466e-beb3-f0fa158b84c8;CURACAVÍ;CURACAVÍ;;;;;
49d14d3b-2116-43ee-9196-96e3998db109;LONGAVÍ;LONGAVÍ;;;;;
20c3b91d-c55b-4015-a943-7394b65e60e9;MAIPÚ;;;;;;
fec20dfa-89af-4085-90db-5f2d8d3371fb;SAN FELIPE;SAN FELIPE;;;;;
d4cc20c3-0813-4b74-bd08-26ba59caa9ce;PUENTE ALTO;;;;;;
54dfd9a6-2a02-438a-9b14-7366766f42d0;QUINTA NORMAL;;;;;;
e5fc4afe-ed46-436e-a0b4-a8996d118945;RECOLETA;;;;;;
4e07b79b-bf81-4aba-878b-f1b91a37d31d;QUINTA NORMAL;;;;;;
72d27187-2b82-4de7-9b0d-f5910ffbfc2b;QUINTA NORMAL;;;;;;
f358bd15-9607-41d2-8761-2f67cf559994;PROVIDENCIA;;;;;;
53b72817-b0fa-4d80-a818-265769c4bc4b;VICTORIA;VICTORIA;;;;;
790edddc-f488-43f1-ae18-eee31008586c;QUINTERO;;;;;;
d07652dc-7c20-4ce1-bd5e-3868dca9e463;SAN MIGUEL;;;;;;
10cd6c4d-56d6-4f68-987c-de0474c7d24b;CERRILLOS;;;;;;
26a8374d-02e4-4268-abc6-c7cc166a32de;PUENTE ALTO;;;;;;
c1b49ae0-4d9c-4db4-8060-d448a4bcb23a;LA GRANJA;;;;;;
15ccdd50-cb5d-43f3-adb7-3139e2807ad8;SANTIAGO;;;;;;
35b7ca95-2ce0-41ce-a7ac-0255f3fb6ed4;ALHUÉ;ALHUÉ;;;;;
f5529185-d607-4a2b-b6ce-b4854ddb82f7;CHOLCHOL;CHOLCHOL;;;;;
45e45535-f37a-413c-a6f6-25fd5641f8c4;MONTE PATRIA;MONTE PATRIA;;;;;
88b88249-7d4d-4d16-91ff-65959939cb4e;ALGARROBO;ALGARROBO - ALGARROBO;;;;;
f6cbd63a-87ac-447d-8a05-f467219145ec;MAIPÚ;;;;;;
7ef509ca-1986-473c-a3b1-3bab733b80bf;CURACAVÍ;CURACAVÍ;;;;;
c046b66c-8d24-40cc-ac85-1acd24494d93;PUDAHUEL;PUDAHUEL - PUDAHUEL;;;;;
4b222b06-03b0-42b6-912f-44cd76d7a153;SAN PEDRO DE LA PAZ;SAN PEDRO DE LA PAZ;;;;;
08396ac6-6c10-447a-8c51-13cc3e56e026;PEÑALOLÉN;;;;;;
c01ec4f8-25c0-464b-8dbd-ef6ebd63b139;EL BOSQUE;;;;;;
